         C         F         R
         0        32         0
         1      33.8  0.444444
         2      35.6  0.888889
         3      37.4   1.33333
         4      39.2   1.77778
         5        41   2.22222
         6      42.8   2.66667
         7      44.6   3.11111
         8      46.4   3.55556
         9      48.2         4
        10        50   4.44444
        11      51.8   4.88889
        12      53.6   5.33333
        13      55.4   5.77778
        14      57.2   6.22222
        15        59   6.66667
        16      60.8   7.11111
        17      62.6   7.55556
        18      64.4         8
        19      66.2   8.44444
        20        68   8.88889
        21      69.8   9.33333
        22      71.6   9.77778
        23      73.4   10.2222
        24      75.2   10.6667
        25        77   11.1111
        26      78.8   11.5556
        27      80.6        12
        28      82.4   12.4444
        29      84.2   12.8889
        30        86   13.3333
        31      87.8   13.7778
        32      89.6   14.2222
        33      91.4   14.6667
        34      93.2   15.1111
        35        95   15.5556
        36      96.8        16
        37      98.6   16.4444
        38     100.4   16.8889
        39     102.2   17.3333
        40       104   17.7778
        41     105.8   18.2222
        42     107.6   18.6667
        43     109.4   19.1111
        44     111.2   19.5556
        45       113        20
        46     114.8   20.4444
        47     116.6   20.8889
        48     118.4   21.3333
        49     120.2   21.7778
        50       122   22.2222
        51     123.8   22.6667
        52     125.6   23.1111
        53     127.4   23.5556
        54     129.2        24
        55       131   24.4444
        56     132.8   24.8889
        57     134.6   25.3333
        58     136.4   25.7778
        59     138.2   26.2222
        60       140   26.6667
        61     141.8   27.1111
        62     143.6   27.5556
        63     145.4        28
        64     147.2   28.4444
        65       149   28.8889
        66     150.8   29.3333
        67     152.6   29.7778
        68     154.4   30.2222
        69     156.2   30.6667
        70       158   31.1111
        71     159.8   31.5556
        72     161.6        32
        73     163.4   32.4444
        74     165.2   32.8889
        75       167   33.3333
        76     168.8   33.7778
        77     170.6   34.2222
        78     172.4   34.6667
        79     174.2   35.1111
        80       176   35.5556
        81     177.8        36
        82     179.6   36.4444
        83     181.4   36.8889
        84     183.2   37.3333
        85       185   37.7778
        86     186.8   38.2222
        87     188.6   38.6667
        88     190.4   39.1111
        89     192.2   39.5556
        90       194        40
        91     195.8   40.4444
        92     197.6   40.8889
        93     199.4   41.3333
        94     201.2   41.7778
        95       203   42.2222
        96     204.8   42.6667
        97     206.6   43.1111
        98     208.4   43.5556
        99     210.2        44
       100       212   44.4444
